New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:3520K; Loan Amount:300K; Loan Term:300; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:1; Graduate:Not Graduate; Applicant Income:10K; Loan Amount:350K; Loan Term:240; Credit History Above Guideline:No; Property Area:Urban; Occupation:No; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:32000K; Loan Term left blank - Reset Form; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; New Input:; Gender:Male; Married:No; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term left blank - Reset Form; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:42000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Female; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:40000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Semi-Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:No; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Semi-Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:32000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Semi-Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Not Graduate; Applicant Income:20000K; Loan Amount:100000K; Loan Term:60; Credit History Above Guideline:No; Property Area:Rural; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:No; Dependents:2; Graduate:Not Graduate; Applicant Income:5000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Rural; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Female; Married:No; Dependents:3+; Graduate:Not Graduate; Applicant Income:10000K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Rural; Occupation:No; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Not Graduate; Applicant Income:10000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Rural; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Female; Married:No; Dependents:2; Graduate:Not Graduate; Applicant Income:10000K; Loan Amount:200000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Semi-Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Not Graduate; Applicant Income:20000K; Loan Amount:30000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Not Graduate; Applicant Income:20000K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:No; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Graduate; Applicant Income:30000K; Loan Amount:30000K; Loan Term:12; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:400000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:10000K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Graduate; Applicant Income:10000K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:10000K; Loan Amount:600000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Not Graduate; Applicant Income:0K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Rural; Occupation:No; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:10000K; Loan Amount:800000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:10000K; Loan Amount:900000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:0K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:100000K; Loan Amount:100000K; Loan Term:12; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:100000K; Loan Amount:10000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
